"colname","unit","format","description"
"<M_mol_obj_150pc>","Msun",".3e","Flux-weighted mean object molecular gas mass @ 150 pc resolution"
"e_<M_mol_obj_150pc>","dex",".2f","Error on flux-weighted mean object molecular gas mass @ 150 pc resolution"
"<vdisp_mol_obj_150pc>","km s-1",".3e","Flux-weighted mean object velocity dispersion @ 150 pc resolution"
"e_<vdisp_mol_obj_150pc>","dex",".2f","Error on flux-weighted mean object velocity dispersion @ 150 pc resolution"
"<R_3d_obj_150pc>","pc",".3e","Flux-weighted mean object radius (3d spheroid) @ 150 pc resolution"
"e_<R_3d_obj_150pc>","dex",".2f","Error on flux-weighted mean object radius (3d spheroid) @ 150 pc resolution"
"<Area_obj_150pc>","pc2",".3e","Flux-weighted mean object area (deprojected) @ 150 pc resolution"
"e_<Area_obj_150pc>","dex",".2f","Error on flux-weighted mean object area (deprojected) @ 150 pc resolution"
"<Sigma_mol_obj_150pc>","Msun pc-2",".3e","Flux-weighted mean object molecular gas surface density @ 150 pc resolution"
"e_<Sigma_mol_obj_150pc>","dex",".2f","Error on flux-weighted mean object molecular gas surface density @ 150 pc resolution"
"<t_ff^-1_obj_150pc>","Myr-1",".3e","Flux-weighted mean reciprocal of object free-fall time @ 150 pc resolution"
"e_<t_ff^-1_obj_150pc>","dex",".2f","Error on flux-weighted mean reciprocal of object free-fall time @ 150 pc resolution"
"<t_cross^-1_obj_150pc>","Myr-1",".3e","Flux-weighted mean reciprocal of object crossing time @ 150 pc resolution"
"e_<t_cross^-1_obj_150pc>","dex",".2f","Error on flux-weighted mean reciprocal of object crossing time @ 150 pc resolution"
"<alpha_vir_obj_150pc>","1",".3e","Flux-weighted mean object virial parameter @ 150 pc resolution"
"e_<alpha_vir_obj_150pc>","dex",".2f","Error on flux-weighted mean object virial parameter @ 150 pc resolution"
"<P_turb_obj_150pc>","K cm-3",".3e","Flux-weighted mean object molecular gas turbulent pressure @ 150 pc resolution"
"e_<P_turb_obj_150pc>","dex",".2f","Error on flux-weighted mean object molecular gas turbulent pressure @ 150 pc resolution"
